FILE	FLAG	POST	VALUE	SOURCE	DESTINATION
Holy-Bible---Kosraean---Kosraean-Bible				http://ebible.org/Scriptures/kos_vpl.zip	Holy-Bible---Kosraean---Kosraean-Bible---Source-Edition.VPL.zip
Holy-Bible---Kuhane---Kuhane-Bible				https://eBible.org/sword/zip/sbs2020eb.zip	Holy-Bible---Kuhane---Kuhane-Bible---Source-Edition.SWORD.zip
Holy-Bible---Kuhane---Kuhane-Bible				http://ebible.org/epub/sbs.epub	Holy-Bible---Kuhane---Kuhane-Bible---Source-Edition.epub
Holy-Bible---Kuhane---Kuhane-Bible				http://ebible.org/pdf/sbs/sbs_prt.pdf	Holy-Bible---Kuhane---Kuhane-Bible---Source-Edition.pdf
Holy-Bible---Kuhane---Kuhane-Bible				http://ebible.org/Scriptures/sbs_vpl.zip	Holy-Bible---Kuhane---Kuhane-Bible---Source-Edition.VPL.zip
Holy-Bible---Latin---Clementine-Vulgate-1598				http://ebible.org/sword/zip/latVUC1880eb.zip	Holy-Bible---Latin---Clementine-Vulgate-1598---Source-Edition.SWORD.zip
Holy-Bible---Latin---Clementine-Vulgate-1598				http://ebible.org/epub/latVUC.epub	Holy-Bible---Latin---Clementine-Vulgate-1598---Source-Edition.epub
Holy-Bible---Latin---Clementine-Vulgate-1598				http://ebible.org/pdf/latVUC/latVUC_prt.pdf	Holy-Bible---Latin---Clementine-Vulgate-1598---Source-Edition.pdf
Holy-Bible---Latin---Clementine-Vulgate-1598				http://ebible.org/Scriptures/latVUC_vpl.zip	Holy-Bible---Latin---Clementine-Vulgate-1598---Source-Edition.VPL.zip
Holy-Bible---Latin---Clementine-Vulgate-Conte	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/VulgConte.zip	Holy-Bible---Latin---Clementine-Vulgate-Conte---Source-Edition.SWORD.zip
Holy-Bible---Latin---Clementine-Vulgate-Hetzenauer	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/VulgHetzenauer.zip	Holy-Bible---Latin---Clementine-Vulgate-Hetzenauer---Source-Edition.SWORD.zip
Holy-Bible---Latin---Clementine-Vulgate-Tweedale	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/VulgClementine.zip	Holy-Bible---Latin---Clementine-Vulgate-Tweedale---Source-Edition.SWORD.zip
Holy-Bible---Latin---Vulgata-Sistina	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/VulgSistine.zip	Holy-Bible---Latin---Vulgata-Sistina---Source-Edition.SWORD.zip
Holy-Bible---Latin---Vulgate-Jerome	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/Vulgate.zip	Holy-Bible---Latin---Vulgate-Jerome---Source-Edition.SWORD.zip
Holy-Bible---Latvian---Latvian-Gluck-Bible	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/LvGluck8.zip	Holy-Bible---Latvian---Latvian-Gluck-Bible---Source-Edition.SWORD.zip
Holy-Bible---Malagasy---Malagasy-Bible	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/Mg1865.zip	Holy-Bible---Malagasy---Malagasy-Bible---Source-Edition.SWORD.zip
Holy-Bible---Malayalam---Malayalam-Bible				http://ebible.org/sword/zip/mal2017eb.zip	Holy-Bible---Malayalam---Malayalam-Bible---Source-Edition.SWORD.zip
Holy-Bible---Malayalam---Malayalam-Bible				http://ebible.org/epub/mal.epub	Holy-Bible---Malayalam---Malayalam-Bible---Source-Edition.epub
Holy-Bible---Malayalam---Malayalam-Bible				http://ebible.org/pdf/mal/mal_prt.pdf	Holy-Bible---Malayalam---Malayalam-Bible---Source-Edition.pdf
Holy-Bible---Malayalam---Malayalam-Bible				http://ebible.org/Scriptures/mal_vpl.zip	Holy-Bible---Malayalam---Malayalam-Bible---Source-Edition.VPL.zip
Holy-Bible---Maori---Maori-Bible				https://bible4u.net/static/bible_files/pdf/MAORI.pdf	Holy-Bible---Maori---Maori-Bible---Source-Edition.pdf
Holy-Bible---Maori---Maori-Bible				https://bible4u.net/static/bible_files/txt/MAORI_txt.tar.gz	Holy-Bible---Maori---Maori-Bible---Source-Edition.B4U.tar.gz
Holy-Bible---Marathi---Marathi-Bible				http://ebible.org/sword/zip/mar2017eb.zip	Holy-Bible---Marathi---Marathi-Bible---Source-Edition.SWORD.zip
Holy-Bible---Marathi---Marathi-Bible				http://ebible.org/epub/mar.epub	Holy-Bible---Marathi---Marathi-Bible---Source-Edition.epub
Holy-Bible---Marathi---Marathi-Bible				http://ebible.org/pdf/mar/mar_prt.pdf	Holy-Bible---Marathi---Marathi-Bible---Source-Edition.pdf
Holy-Bible---Marathi---Marathi-Bible				http://ebible.org/Scriptures/mar_vpl.zip	Holy-Bible---Marathi---Marathi-Bible---Source-Edition.VPL.zip
Holy-Bible---Mwera---Mwera-Bible				https://eBible.org/sword/zip/mwe2019eb.zip	Holy-Bible---Mwera---Mwera-Bible---Source-Edition.SWORD.zip
Holy-Bible---Mwera---Mwera-Bible				http://ebible.org/epub/mwe.epub	Holy-Bible---Mwera---Mwera-Bible---Source-Edition.epub
Holy-Bible---Mwera---Mwera-Bible				http://ebible.org/pdf/mwe/mwe_prt.pdf	Holy-Bible---Mwera---Mwera-Bible---Source-Edition.pdf
Holy-Bible---Mwera---Mwera-Bible				http://ebible.org/Scriptures/mwe_vpl.zip	Holy-Bible---Mwera---Mwera-Bible---Source-Edition.VPL.zip
Holy-Bible---Myanmar---Burmese-Common-Bible				https://eBible.org/sword/zip/mya2005eb.zip	Holy-Bible---Myanmar---Burmese-Common-Bible---Source-Edition.SWORD.zip
Holy-Bible---Myanmar---Burmese-Common-Bible				http://ebible.org/epub/mya.epub	Holy-Bible---Myanmar---Burmese-Common-Bible---Source-Edition.epub
