# File Name: ANAVIGATION.txt
# File Size: 21277       
# File Date: 12/19/2024 19:23:45
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	STATUS	MISSING
Holy-Bible---English---Anderson-Bible		
Holy-Bible---English---Berean-Standard		
Holy-Bible---English---Bible-in-Basic-English		
Holy-Bible---English---Brenton-English-Septuagint		
Holy-Bible---English---British-English-Septuagint-2012		
Holy-Bible---English---Catholic-Public-Domain		
Holy-Bible---English---Darby-Translation		
Holy-Bible---English---Douay-Rheims-1899		
Holy-Bible---English---Family-35-NT		
Holy-Bible---English---Free-Bible-Version		
Holy-Bible---English---Geneva-Bible		
Holy-Bible---English---Godbey-Bible		
Holy-Bible---English---Godbey-Bible	VERSMISS	040-MAT-005-030
Holy-Bible---English---Gods-Living-Word		
Holy-Bible---English---Haweis-Bible		
Holy-Bible---English---Jewish-Bible		
Holy-Bible---English---King-James-Version		
Holy-Bible---English---King-James-Version-American		
Holy-Bible---English---King-James-Version-Cambridge		
Holy-Bible---English---King-James-Version-Restored-Name		
Holy-Bible---English---King-James-Version-Revised		
Holy-Bible---English---King-James-Version-Updated		
Holy-Bible---English---LXX2012-U-S-English		
Holy-Bible---English---Leeser-Tanakh		
Holy-Bible---English---Literal-Standard		
Holy-Bible---English---Living-Oracles-NT		
Holy-Bible---English---Montgomery-NT		
Holy-Bible---English---New-Heart-Aramaic		
Holy-Bible---English---New-Heart-Jehovah		
Holy-Bible---English---New-Heart-Jesus-Messiah		
Holy-Bible---English---New-Heart-Messianic		
Holy-Bible---English---New-Heart-Standard		
Holy-Bible---English---New-Heart-YHWH		
Holy-Bible---English---Noyes		
Holy-Bible---English---One-Unity-Resource-Bible		
Holy-Bible---English---Open-English-Bible-Commonwealth		
Holy-Bible---English---Open-English-Bible-US		
Holy-Bible---English---Revised-Version		
Holy-Bible---English---Rotherham-Bible		
Holy-Bible---English---STEPBible-Amalgamant		
Holy-Bible---English---STEPBible-Concordant		
Holy-Bible---English---Syriac-Peshitta-Etheridge		
Holy-Bible---English---Syriac-Peshitta-Murdock		
Holy-Bible---English---Text-Critical		
Holy-Bible---English---Trans-Trans		
Holy-Bible---English---Twentieth-Century-NT		
Holy-Bible---English---Tyndale-Bible		
Holy-Bible---English---Unlocked-Literal-Bible		
Holy-Bible---English---Webster-Bible		
Holy-Bible---English---Webster-Bible-Revised		
Holy-Bible---English---Weymouth-NT		
Holy-Bible---English---World-English-Bible		
Holy-Bible---English---World-English-Bible-British-Edition		
Holy-Bible---English---World-English-Bible-Updated		
Holy-Bible---English---World-English-Bible-Updated-British		
Holy-Bible---English---World-Messianic-Bible		
Holy-Bible---English---World-Messianic-Bible-British-Edition		
Holy-Bible---English---Worsley-Bible		
Holy-Bible---English---Wycliffe-Bible		
Holy-Bible---English---Youngs-Literal-Translation		
Holy-Bible---Esperanto---Esperanto-Bible		
Holy-Bible---Estonian---For-All		
Holy-Bible---Ewe---Word-of-Life		
Holy-Bible---Finnish---Finnish-Bible		
Holy-Bible---Finnish---Finnish-Pyha-Raamattu		
Holy-Bible---Flemish---Flemish-De-Jonge-Bible		
Holy-Bible---French---Free-for-the-World		
Holy-Bible---French---French-Crampon-Bible		
Holy-Bible---French---French-Crampon-Bible-New		
Holy-Bible---French---French-Darby-Bible		
Holy-Bible---French---French-Khan-Bible		
Holy-Bible---French---French-LXX		
Holy-Bible---French---French-Louis-Segond-1910-Bible		
Holy-Bible---French---French-Martin		
Holy-Bible---French---French-Oltramare-Bible		
Holy-Bible---French---French-Ostervald-Bible		
Holy-Bible---French---French-Perret-Gentil-Rilliet		
Holy-Bible---French---French-Stapfer-Bible		
Holy-Bible---French---French-Synodale-Bible		
Holy-Bible---French---Vulgate-Glaire		
Holy-Bible---Gamotso---Gamo		
Holy-Bible---Gamotso---Gamo	VERSMISS	066-REV-022-005
Holy-Bible---Gata---Gata-Didayi-Bible		
Holy-Bible---German---German-Albrecht		
Holy-Bible---German---German-Elberfelder-1871		
Holy-Bible---German---German-Elberfelder-1905		
Holy-Bible---German---German-Katholiche-Riessler		
Holy-Bible---German---German-Kautzsch-Weizsacker		
Holy-Bible---German---German-Luther-Bible-1545		
Holy-Bible---German---German-Luther-Bible-1912		
Holy-Bible---German---German-Menge		
Holy-Bible---German---German-Reinhardt-Bible		
Holy-Bible---German---German-Schlachter		
Holy-Bible---German---German-Tafel-Bible		
Holy-Bible---Gikuyu---Kikuyu		
Holy-Bible---Gofa---Gofa-Bible		
Holy-Bible---Gourma---Gourma-Bible		
Holy-Bible---Gourmantche---Gourmantche-Bible		
Holy-Bible---Greek---Greek-Antoniades		
Holy-Bible---Greek---Greek-Byzantine		
Holy-Bible---Greek---Greek-Byzantine-Majority		
Holy-Bible---Greek---Greek-LXX-Septuagint		
Holy-Bible---Greek---Greek-Majority-Text		
Holy-Bible---Greek---Greek-Modern-Kathareuousa		
Holy-Bible---Greek---Greek-Nestle		
Holy-Bible---Greek---Greek-Pickering-Family-35		
Holy-Bible---Greek---Greek-SBL		
Holy-Bible---Greek---Greek-SBL	VERSMISS	045-ROM-016-025
Holy-Bible---Greek---Greek-SBL	VERSMISS	045-ROM-016-026
Holy-Bible---Greek---Greek-SBL	VERSMISS	045-ROM-016-027
Holy-Bible---Greek---Greek-STEPBible		
Holy-Bible---Greek---Greek-Scrivener		
Holy-Bible---Greek---Greek-Statistical-Restoration		
Holy-Bible---Greek---Greek-Stephanus		
Holy-Bible---Greek---Greek-TR-Stephanus-Scrivener		
Holy-Bible---Greek---Greek-Textus-Receptus		
Holy-Bible---Greek---Greek-Textus-Receptus-Boyd		
Holy-Bible---Greek---Greek-Textus-Receptus-Elzevir		
Holy-Bible---Greek---Greek-Tischendorf		
