# File Name: TALLY.txt
# File Size: 22407       
# File Date: 09/05/2024 15:09:08
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	AIONIAN	STANDARD	SOURCE
Holy-Bible---English---Living-Oracles-NT	7955	7955	7957
Holy-Bible---English---Montgomery-NT	7940	7940	7942
Holy-Bible---English---New-Heart-Aramaic	31094	31094	31103
Holy-Bible---English---New-Heart-Jehovah	31094	31094	31103
Holy-Bible---English---New-Heart-Jesus-Messiah	31094	31094	31103
Holy-Bible---English---New-Heart-Messianic	31094	31094	31103
Holy-Bible---English---New-Heart-Standard	31094	31094	31103
Holy-Bible---English---New-Heart-YHWH	31094	31094	31103
Holy-Bible---English---Noyes	18213	18213	18231
Holy-Bible---English---One-Unity-Resource-Bible	14299	14299	14299
Holy-Bible---English---Open-English-Bible-Commonwealth	11701	11701	11722
Holy-Bible---English---Open-English-Bible-US	11701	11701	11722
Holy-Bible---English---Revised-Version	31086	31086	31102
Holy-Bible---English---Rotherham-Bible	31086	31086	31090
Holy-Bible---English---STEPBible-Amalgamant	31102	31102	31102
Holy-Bible---English---STEPBible-Concordant	31102	31102	31102
Holy-Bible---English---Syriac-Peshitta-Etheridge	7940	7940	7940
Holy-Bible---English---Syriac-Peshitta-Murdock	7957	7957	7957
Holy-Bible---English---Text-Critical	7953	7953	7953
Holy-Bible---English---Trans-Trans	30641	30641	30643
Holy-Bible---English---Twentieth-Century-NT	7942	7942	7942
Holy-Bible---English---Tyndale-Bible	7893	7893	7893
Holy-Bible---English---Unlocked-Literal-Bible	31086	31086	31104
Holy-Bible---English---Webster-Bible	31102	31102	31102
Holy-Bible---English---Webster-Bible-Revised	31102	31102	31102
Holy-Bible---English---Weymouth-NT	7942	7942	7943
Holy-Bible---English---World-English-Bible	31098	31098	31103
Holy-Bible---English---World-English-Bible-British-Edition	31098	31098	31103
Holy-Bible---English---World-English-Bible-Updated	31098	31098	31103
Holy-Bible---English---World-English-Bible-Updated-British	31098	31098	31103
Holy-Bible---English---World-Messianic-Bible	31098	31098	31103
Holy-Bible---English---World-Messianic-Bible-British-Edition	31098	31098	31103
Holy-Bible---English---Worsley-Bible	7957	7957	7958
Holy-Bible---English---Wycliffe-Bible	31095	31095	31456
Holy-Bible---English---Youngs-Literal-Translation	31102	31102	31102
Holy-Bible---Esperanto---Esperanto-Bible	31102	31102	31102
Holy-Bible---Estonian---For-All	4200	4200	4212
Holy-Bible---Ewe---Word-of-Life	31102	31102	31103
Holy-Bible---Finnish---Finnish-Bible	31102	31102	31102
Holy-Bible---Finnish---Finnish-Pyha-Raamattu	31087	31087	31087
Holy-Bible---Flemish---Flemish-De-Jonge-Bible	7957	7957	7960
Holy-Bible---French---Free-for-the-World	31098	31098	31102
Holy-Bible---French---French-Crampon-Bible	31100	31100	31451
