# File Name: UNTRANSLATECOUNT.txt
# File Size: 22098       
# File Date: 10/18/2022 09:56:37
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2022
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Norwegian---Norwegian-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
Holy-Bible---Norwegian---Norwegian-Student-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Oriya---Oriya-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Panjabi---Punjabi-Bible	0	1	63	12	11	9	1	5	94	64	10	2	0	0	1	271	263	263	0	0	0	0
Holy-Bible---Persian---Old-Persion-Version-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet	0	0	15	12	11	9	1	5	94	64	10	2	0	1	0	223	216	215	0	48	0	1
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet	0	0	15	12	11	9	1	5	94	64	10	2	0	1	0	223	216	215	0	48	0	1
Holy-Bible---Polish---Polish-Gdansk	0	1	63	12	11	9	1	5	94	64	10	2	0	1	1	271	264	263	0	0	0	1
Holy-Bible---Polish---Polish-Updated-Gdansk	0	1	63	12	11	9	1	5	94	64	10	2	0	1	1	271	264	263	0	0	0	1
Holy-Bible---Portuguese---Almeida-Bible-1911	53	0	63	12	11	9	1	5	94	64	10	2	1	0	1	271	263	263	0	0	0	0
