# File Name: BOOKS_CHECK.txt
# File Size: 266577      
# File Date: 02/11/2024 19:14:13
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	Ruth	1-Samuel	2-Samuel	1-Kings	2-Kings	1-Chronicles	2-Chronicles	Ezra	Nehemiah	Esther	Job	Psalms	Proverbs	Ecclesiastes	Song-of-Solomon	Isaiah	Jeremiah	Lamentations	Ezekiel	Daniel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Matthew	Mark	Luke	John	Acts	Romans	1-Corinthians	2-Corinthians	Galatians	Ephesians	Philippians	Colossians	1-Thessalonians	2-Thessalonians	1-Timothy	2-Timothy	Titus	Philemon	Hebrews	James	1-Peter	2-Peter	1-John	2-John	3-John	Jude	Revelation
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ܡܬܝ	ܡܪܩܘܣ	ܠܘܩܘܣ	ܝܘܚܢܢ	ܫܠܝ̈ܚܐ	ܪ̈ܗܘܡܝܐ	ܐ-ܩܘܪ̈ܝܢܬܝܐ	ܒ-ܩܘܪ̈ܝܢܬܝܐ	ܓܠܛܝ̈ܐ	ܐܦܣܝ̈ܐ	ܦܝܠܝܦܣܝ̈ܐ	ܩܘܠ̈ܣܝܐ	ܐ-ܬܣܠ̈ܘܢܝܩܝܐ	ܒ-ܬܣܠ̈ܘܢܝܩܝܐ	ܐ-ܛܝܡܬܐܘܣ	ܒ-ܛܝܡܬܐܘܣ	ܛܝܛܘܣ	ܦܝܠܝܡܘܢ	ܥܒܪ̈ܝܐ	ܝܥܩܘܒ	ܐ-ܦܛܪܘܣ	ܒ-ܦܛܪܘܣ	ܐ-ܝܘܚܢܢ	ܒ-ܝܘܚܢܢ	ܓ-ܝܘܚܢܢ	ܝܗܘܕܐ	ܓܠܝܢܐ
Holy-Bible---Aramaic---Syriac-Peshitta	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ܡܬܝ	ܡܪܩܘܣ	ܠܘܩܘܣ	ܝܘܚܢܢ	ܫܠܝ̈ܚܐ	ܪ̈ܗܘܡܝܐ	ܐ-ܩܘܪ̈ܝܢܬܝܐ	ܒ-ܩܘܪ̈ܝܢܬܝܐ	ܓܠܛܝ̈ܐ	ܐܦܣܝ̈ܐ	ܦܝܠܝܦܣܝ̈ܐ	ܩܘܠ̈ܣܝܐ	ܐ-ܬܣܠ̈ܘܢܝܩܝܐ	ܒ-ܬܣܠ̈ܘܢܝܩܝܐ	ܐ-ܛܝܡܬܐܘܣ	ܒ-ܛܝܡܬܐܘܣ	ܛܝܛܘܣ	ܦܝܠܝܡܘܢ	ܥܒܪ̈ܝܐ	ܝܥܩܘܒ	ܐ-ܦܛܪܘܣ	ܒ-ܦܛܪܘܣ	ܐ-ܝܘܚܢܢ	ܒ-ܝܘܚܢܢ	ܓ-ܝܘܚܢܢ	ܝܗܘܕܐ	ܓܠܝܢܐ
Holy-Bible---Arapaho---Arapaho-Luke	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Luke	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Holy-Bible---Armenian---Armenian-Bible-Eastern	ԾՆՆԴՈՑ	ԵԼՔ	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ՄԱՏԹԷՈՍ	ՄԱՐԿՈՍ	ՂՈԻԿԱՍ	ՅՈՎՀԱՆՆՈԻ	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Holy-Bible---Armenian---Armenian-Bible-Western	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ՄԱՏԹԷՈՍ	ՄԱՐԿՈՍ	ՂՈԻԿԱՍ	ՅՈՎՀԱՆՆՈԻ	ԳՈՐԾՔ ԱՌԱՔԵԼՈՑ	ՀՌՈՎՄԱՅԵՑԻՍ	ԱՌԱՋԻՆ ԿՈՐՆԹԱՑԻՍ	ԵՐԿՐՈՐԴ ԿՈՐՆԹԱՑԻՍ	ԳԱՂԱՏԱՑԻՍ	ԵՓԵՍԱՑԻՍ	ՓԻԼԻՊՊԵՑԻՍ	ԿՈՂՈՍԱՑԻՍ	ԱՌԱՋԻՆ ԹԵՍԱՂՈՆԻԿԵՑԻՍ	ԵՐԿՐՈՐԴ ԹԵՍԱՂՈՆԻԿԵՑԻՍ	ԱՌԱՋԻՆ ՏԻՄՈԹԷՈՍ	ԵՐԿՐՈՐԴ ՏԻՄՈԹԷՈՍ	ՏԻՏՈՍ	ՓԻԼԻՄՈՆ	ԵԲՐԱՅԵՑԻՍ	ՅԱԿՈԲՈՒ	ԱՌԱՋԻՆ ՊԵՏՐՈՍԻ	ԵՐԿՐՈՐԴ ՊԵՏՐՈՍԻ	ԱՌԱՋԻՆ ՅՈՎՀԱՆՆՈՒ	ԵՐԿՐՈՐԴ ՅՈՎՀԱՆՆՈՒ	ԵՐՐՈՐԴ ՅՈՎՀԱՆՆՈՒ	ՅՈՒԴԱՅԻ	ՅԱՅՏՆՈՒԹԻՒՆ ՅՈՎՀԱՆՆՈՒ
Holy-Bible---Assamese---Assamese-Bible	আদিপুস্তক	যাত্রাপুস্তক	লেবীয় পুস্তক	গণনা পুস্তক	দ্বিতীয় বিবরণ	যোশুয়া	বিচারকচরিত	ৰূথ	১ সামুয়েল	২ সামুয়েল	১ রাজাবলি	২ রাজাবলি	১ বংশাবলি	২ বংশাবলি	এজরা	নেহেমিয়া	এস্থার	যোব	সামসঙ্গীত	প্রবচন	উপদেশক	পরম গীত	ইসাইয়া	যেরেমিয়া	বিলাপ-গাথা	এজেকিয়েল	দানিয়েল	হোসেয়া	যোয়েল	আমোস	ওবাদিয়া	যোনা	মিখা	নাহুম	হাবাকুক	জেফানিয়া	হগয়	জাখারিয়া	মালাখি	মথি	মাৰ্ক	লূক	যোহন	পাঁচনি	ৰোমীয়া	১ কৰিন্থীয়া	২ কৰিন্থীয়া	গালাতীয়া	ইফিচীয়া	ফিলিপীয়া	কলচীয়া	১ থিচলনীকীয়া	২ থিচলনীকীয়া	১ তীমথিয়	২ তীমথিয়	তীত	ফিলীমন	ইব্ৰী	যাকোব	১ পিতৰ	২ পিতৰ	১ যোহন	২ যোহন	৩ যোহন	যিহূদা	প্ৰকাশিত বাক্য
Holy-Bible---Azerbaijani---Azerbaijani-Bible	Yaradiliş	Çixiş	Levililər	Saylar	Qanunun Təkrari	Yeşua	Hakimlər	Rut	Birinci Şamuel	Ikinci Şamuel	Birinci Padşahlar	Ikinci Padşahlar	Birinci Salnamələr	Ikinci Salnamələr	Ezra	Nehemya	Ester	Əyyub	Zəbur	Süleymanin Məsəlləri	Vaiz	Nəğmələr Nəğməsi	Yeşaya	Yeremya	Mərsiyələr	Yezekel	Daniel	Huşə	Yoel	Amos	Avdiya	Yunus	Mikeya	Nahum	Habaqquq	Sefanya	Haqqay	Zəkəriyyə	Malaki	Matta	Mark	Luka	Yəhya	Həvarilərin Işləri	Romalilara	1 Korinflilərə	2 Korinflilərə	Qalatiyalilara	Efeslilərə	Filipililərə	Kolosselilərə	1 Saloniklilərə	2 Saloniklilərə	1 Timoteyə	2 Timoteyə	Titə	Filimona	Ibranilərə	Yaqub	1 Peter	2 Peter	1 Yəhya	2 Yəhya	3 Yəhya	Yəhuda	Vəhy
Holy-Bible---Basque---Basque-NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Mateo	Markos	Lukas	Joan	Eginak	Erromatarrei	1 Korintoarrei	2 Korintoarrei	Galaziarrei	Efesoarrei	Filipoarrei	Kolosarrei	1 Tesalonikarrei	2 Tesalonikarrei	1 Timoteori	2 Timoteori	Titori	Filemoni	Hebrearrei	Santiago	1 Pedro	2 Pedro	1 Joan	2 Joan	3 Joan	Judas	Apokalipsia
Holy-Bible---Beaver---Beaver-Mark	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ST MARK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Holy-Bible---Bengali---Bengali-Bible	আদিপুস্তক	যাত্রাপুস্তক	লেবীয় বই	গণনার বই	দ্বিতীয় বিবরণ	যিহোশূয়ের বই	বিচারকর্ত্তৃগণের বিবরণ	রূতের বিবরণ	শমূয়েলের প্রথম বই	শমূয়েলের দ্বিতীয় বই	প্রথম রাজাবলি	দ্বিতীয় রাজাবলি	বংশাবলির প্রথম খণ্ড	বংশাবলির দ্বিতীয় খণ্ড	ইষ্রা	নহিমিয়ের বই	ইষ্টের বিবরণ	ইয়োবের বিবরণ	গীতসংহিতা	হিতোপদেশ	উপদেশক	শলোমনের পরমগীত	যিশাইয় ভাববাদীর বই	যিরমিয়ের বই	যিরমিয়ের বিলাপ	যিহিস্কেল ভাববাদীর বই	দানিয়েল	হোশেয় ভাববাদীর বই	যোয়েল ভাববাদীর বই	আমোষ ভাববাদীর বই	ওবদিয় ভাববাদীর বই	যোনা ভাববাদীর বই	মীখা ভাববাদীর পুস্তক	নহূম ভাববাদীর বই	হবককূক ভাববাদীর বই	সফনিয় ভাববাদীর বই	হগয় ভাববাদীর বই	সখরিয় ভাববাদীর বই	মালাখি ভাববাদীর বই	মথি	মার্ক	লুক	যোহন	প্রেরিত	রোমীয়	১ম করিন্থীয়	২য় করিন্থীয়	গালাতীয়	ইফিষীয়	ফিলিপীয়	কলসীয়	১ম থিষলনীকীয়	২য় থিষলনীকীয়	১ম তীমথি	২য তীমথি	তীত	ফিলীমন	ইব্রীয়	যাকোব	১ম পিতর	২য় পিতর	১ম যোহন	২য় যোহন	৩য় যোহন	যিহূদা	প্রকাশিত বাক্য
