BIBLE	NEW	NOSPACE	NOETERNAL	ETERNAL	NOHELL	YESHELL	SHEOL	GEHENNA	HADES	TARTARUS	ABYSS	LOF	END
Holy-Bible---English---Jewish-Bible	YES	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---King-James-Version		0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---King-James-Version-American		0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---King-James-Version-Updated		0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---LXX2012-U-S-English		0	eternity,eternal,forever,everlasting,for ever and ever,for every and ever	eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Montgomery-NT	YES	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---New-Heart-Aramaic		0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,Sheyul,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom,Takhtaya	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---New-Heart-Jehovah		0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,Sheyul,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom,Takhtaya	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---New-Heart-Jesus-Messiah		0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,Sheyul,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom,Takhtaya	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---New-Heart-Messianic		0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,Sheyul,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom,Takhtaya	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
